,open,high,low,close,tick_volume,EMA_Fast,EMA_Slow,Signal,SL,TP
2026-04-01 01:35:00,1.15603,1.15607,1.15587,1.15589,59.0,1.1560972539584227,1.1561679380770868,0,,
2026-04-01 01:36:00,1.15591,1.15595,1.15565,1.15567,51.0,1.1560118031667381,1.1561226709791699,0,,
2026-04-01 01:37:00,1.15567,1.15583,1.15566,1.15568,51.0,1.1559454425333906,1.1560824281628816,0,,
2026-04-01 01:38:00,1.15568,1.15572,1.15562,1.15566,34.0,1.1558883540267124,1.1560440256026197,0,,
2026-04-01 01:39:00,1.15565,1.15578,1.15565,1.15571,37.0,1.15585268322137,1.156013659638745,0,,
2026-04-01 01:40:00,1.15571,1.15572,1.15558,1.15559,35.0,1.155800146577096,1.1559751451261315,0,,
2026-04-01 01:41:00,1.1556,1.15561,1.15551,1.15551,26.0,1.1557421172616769,1.1559328592055742,0,,
2026-04-01 01:42:00,1.15553,1.15566,1.15553,1.15559,29.0,1.1557116938093415,1.1559016901868855,0,,
2026-04-01 01:43:00,1.1556,1.15567,1.15559,1.15562,31.0,1.1556933550474733,1.1558760819880778,0,,
2026-04-01 01:44:00,1.15562,1.15567,1.15556,1.15565,39.0,1.1556846840379786,1.1558555290800707,0,,
2026-04-01 01:45:00,1.15565,1.15567,1.15546,1.15552,49.0,1.1556517472303829,1.1558250264364278,0,,
2026-04-01 01:46:00,1.15552,1.15567,1.15552,1.15567,35.0,1.1556553977843063,1.1558109331240254,0,,
2026-04-01 01:47:00,1.15566,1.15584,1.15565,1.1558,29.0,1.155684318227445,1.1558099392036594,0,,
2026-04-01 01:48:00,1.15579,1.15582,1.15573,1.15582,32.0,1.1557114545819562,1.1558108538215084,0,,
2026-04-01 01:49:00,1.15582,1.15582,1.15567,1.15567,29.0,1.155703163665565,1.155798048928644,0,,
2026-04-01 01:50:00,1.15569,1.15572,1.15562,1.15571,28.0,1.155704530932452,1.1557900444805853,0,,
2026-04-01 01:51:00,1.15572,1.15572,1.15566,1.15568,22.0,1.1556996247459617,1.1557800404368956,0,,
2026-04-01 01:52:00,1.15568,1.15592,1.15568,1.15592,33.0,1.1557436997967694,1.1557927640335413,0,,
2026-04-01 01:53:00,1.15592,1.15609,1.15592,1.156,37.0,1.1557949598374155,1.1558116036668558,0,,
2026-04-01 01:54:00,1.156,1.15606,1.15596,1.15605,26.0,1.1558459678699324,1.155833276060778,1,1.15489395,1.1583621
2026-04-01 01:55:00,1.15605,1.15608,1.156,1.15604,22.0,1.155884774295946,1.1558520691461618,0,,
2026-04-01 01:56:00,1.15605,1.15607,1.15598,1.15599,31.0,1.1559058194367569,1.1558646083146924,0,,
2026-04-01 01:57:00,1.15598,1.15611,1.15597,1.15611,23.0,1.1559466555494056,1.1558869166497203,0,,
2026-04-01 01:58:00,1.15613,1.15616,1.15608,1.15609,26.0,1.1559753244395246,1.1559053787724731,0,,
2026-04-01 01:59:00,1.15609,1.15616,1.15608,1.15612,22.0,1.1560042595516198,1.1559248897931573,0,,
2026-04-01 02:00:00,1.15613,1.15627,1.15609,1.15609,43.0,1.1560214076412958,1.1559398998119612,0,,
2026-04-01 02:01:00,1.1561,1.15619,1.15602,1.15619,32.0,1.1560551261130367,1.155962636192692,0,,
2026-04-01 02:02:00,1.15618,1.15624,1.15615,1.15619,34.0,1.1560821008904294,1.15598330562972,0,,
